FISCAL_YR,Channel,total_net_sales,total_custs,recency_net_sales_total,recency_cust_total,Recency,chan_rec_sales_pct,chan_rec_cust_pct,chan_rec_seg_sales,chan_rec__seg_custs,Customer_Type,Segment,chan_rec_sales,chan_rec__custs,sales_pct,cust_pct,d_p_cust
2018,D,229827090.469929,1000034,21277568.2378448,166170,0,9.25807666726252e-002,0.166164350412086,15969781.2422733,128114,NTB_1,1,22146478.5447537,145758,0.721098,0.8789501,124.652896968897
2018,D,229827090.469929,1000034,21277568.2378448,166170,0,9.25807666726252e-002,0.166164350412086,6176697.30248039,17644,NTB__Omni,_Omni,22146478.5447537,145758,0.278902,0.12105,350.073526551824
2018,R,443441341.639256,1347980,45310920.5423735,240850,0,0.102180189999593,0.178674757785724,33966155.9819473,202794,NTB_1,1,44442010.2354646,223206,0.7642804,0.9085509,167.49093159535
2018,R,443441341.639256,1347980,45310920.5423735,240850,0,0.102180189999593,0.178674757785724,10475854.2535172,20412,NTB__Omni,_Omni,44442010.2354646,223206,0.2357196,9.144916e-002,513.220372992222
2018,D,229827090.469929,1000034,171947890.575855,565710,1,0.748161977877682,0.565690766513939,88286248.873397,250434,Existing_1,1,195601645.493597,402343,0.4513574,0.6224391,352.532998208698
2018,D,229827090.469929,1000034,171947890.575855,565710,1,0.748161977877682,0.565690766513939,107315396.6202,151909,Existing__Omni,_Omni,195601645.493597,402343,0.5486426,0.3775609,706.445283822552
2018,R,443441341.639256,1347980,317127730.94862,690514,1,0.715151478155608,0.512258342111901,157092050.398045,375238,Existing_1,1,293473976.030878,538605,0.5352845,0.696685,418.646433458351
2018,R,443441341.639256,1347980,317127730.94862,690514,1,0.715151478155608,0.512258342111901,136381925.632833,163367,Existing__Omni,_Omni,293473976.030878,538605,0.4647156,0.303315,834.819306425615
2018,D,229827090.469929,1000034,36600967.7462394,268150,2,0.159254366712824,0.268140883209971,27163400.5858855,193009,React_1,1,38684799.3041654,228667,0.7021725,0.8440614,140.736445377602
2018,D,229827090.469929,1000034,36600967.7462394,268150,2,0.159254366712824,0.268140883209971,11521398.7182799,35658,React__Omni,_Omni,38684799.3041654,228667,0.2978275,0.1559386,323.108382923325
2018,R,443441341.639256,1347980,80979162.148129,416526,2,0.182615274094147,0.309000133533138,61251471.193598,341385,React_1,1,78895330.5902038,380868,0.7763637,0.8963342,179.420511134344
2018,R,443441341.639256,1347980,80979162.148129,416526,2,0.182615274094147,0.309000133533138,17643859.3966058,39483,React__Omni,_Omni,78895330.5902038,380868,0.2236363,0.1036658,446.872309515634
